,Engine Capacity,Cylinders,Drive Type,Fuel Tank Capacity,Fuel Economy,Fuel Type,Horsepower,Torque,Transmission,Top Speed,Seating Capacity,Acceleration,Length,Width,Height,Wheelbase,Trunk Capacity,name,price,currency,Country
0,1.2,3,0,42.0,4.9,0,76,100.0,0,170,5,14.0,4.245,1.67,1.515,2.55,450.0,Mitsubishi Attrage 2021 1.2 GLX (Base),34099.0,0,0
1,1.2,3,0,42.0,4.9,0,76,100.0,0,170,5,14.0,4.245,1.67,1.515,2.55,450.0,Mitsubishi Attrage 2021 1.2 GLX (Base),34099.0,0,0
2,1.4,4,0,45.0,6.3,0,75,118.0,1,156,2,16.0,3.864,1.716,1.721,2.513,2800.0,Fiat Fiorino 2021 1.4L Standard,41250.0,0,0
3,1.6,4,0,50.0,6.4,0,102,145.0,0,180,5,11.0,4.354,1.994,1.529,2.635,510.0,Renault Symbol 2021 1.6L PE,44930.0,0,0
4,1.5,4,0,48.0,5.8,0,112,150.0,0,170,5,10.9,4.314,1.809,1.624,2.585,448.0,MG ZS 2021 1.5L STD,57787.0,0,0
5,1.4,4,0,35.0,5.1,0,98,127.0,0,170,5,12.0,3.636,1.597,1.483,2.385,314.0,Chevrolet Spark 2021 1.4L LS,53790.0,0,0
6,1.6,4,0,50.0,6.4,0,102,145.0,0,180,5,11.0,4.354,1.994,1.529,2.635,510.0,Renault Symbol 2021 1.6L LE,54780.0,0,0
7,1.4,4,0,45.0,6.3,0,100,132.0,0,183,5,13.4,4.44,1.729,1.475,2.6,396.0,Hyundai Accent 2021 1.4L Base,53460.0,0,0
8,1.4,4,0,45.0,6.3,0,100,132.0,0,183,5,13.4,4.44,1.729,1.475,2.6,396.0,Hyundai Accent 2021 1.4L Mid,55000.0,0,0
9,1.5,4,0,48.0,5.8,0,112,150.0,0,170,5,10.9,4.314,1.809,1.624,2.585,448.0,MG ZS 2021 1.5L COM,61237.0,0,0
11,1.6,4,0,45.0,6.4,0,123,151.0,0,193,5,11.3,4.44,1.729,1.475,2.6,396.0,Hyundai Accent 2021 1.6L Base,53350.0,0,0
12,1.4,4,0,35.0,5.1,0,98,127.0,0,170,5,12.0,3.636,1.597,1.483,2.385,314.0,Chevrolet Spark 2021 1.4L LT,64900.0,0,0
13,1.8,4,0,60.0,7.4,0,130,170.0,0,185,5,10.3,4.44,1.833,1.56,2.7,330.0,Geely GS Sport 2021 1.8L Elegance (Full Option),54340.0,0,0
17,1.2,4,0,35.0,6.0,0,84,122.0,0,161,5,13.7,3.595,1.595,1.495,2.4,255.0,Kia Picanto 2021 1.2L Base,42620.0,0,0
18,1.5,4,0,48.0,5.8,0,112,150.0,0,170,5,10.9,4.314,1.809,1.624,2.585,448.0,MG ZS 2021 1.5L LUX,68597.0,0,0
19,1.3,3,0,48.0,5.8,0,160,230.0,2,185,5,8.0,4.314,1.809,1.624,2.585,448.0,MG ZS 2021 1.3T ZST,73887.0,0,0
20,1.5,4,0,55.0,6.8,0,169,250.0,0,170,5,9.8,4.545,1.855,1.719,2.7,595.0,MG RX5 2021 1.5T Luxury,80787.0,0,0
21,1.5,4,0,55.0,6.8,0,169,250.0,0,170,5,9.8,4.545,1.855,1.719,2.7,595.0,MG RX5 2021 1.5T Standard,66412.0,0,0
22,2.0,4,1,50.0,6.9,0,135,195.0,0,178,5,11.5,4.341,1.804,1.693,2.676,414.0,Renault Duster 2021 2.0L PE (4x4),59290.0,0,0
